,Gene,Ensembl,gene,pvalue,padj
1339,ANKRD13A,ENSG00000076513,ENSG00000076513,0.000228327744401,0.000970853364423
324,PSMC4,ENSG00000013275,ENSG00000013275,0.000229207417508,0.000974355578579
6941,SRPK2,ENSG00000135250,ENSG00000135250,0.000230019282603,0.000977567901509
11673,TMEM130,ENSG00000166448,ENSG00000166448,0.000230082679791,0.000977598489243
2853,SPG11,ENSG00000104133,ENSG00000104133,0.000230275949895,0.000978180744427
7969,C17orf80,ENSG00000141219,ENSG00000141219,0.000230833468727,0.000980309616334
9385,PDK1,ENSG00000152256,ENSG00000152256,0.000231698345349,0.000983742425518
5185,OCRL,ENSG00000122126,ENSG00000122126,0.000232297361537,0.000986045047323
14759,ACBD3,ENSG00000182827,ENSG00000182827,0.000232732693829,0.000987651917336
2588,BMX,ENSG00000102010,ENSG00000102010,0.000233618544891,0.000991169411798
4587,PHTF1,ENSG00000116793,ENSG00000116793,0.000233928820522,0.000992243802238
9954,KIT,ENSG00000157404,ENSG00000157404,0.000234120052019,0.00099281284858
10383,MYL3,ENSG00000160808,ENSG00000160808,0.000234514693559,0.00099424399085
5476,BTN2A2,ENSG00000124508,ENSG00000124508,0.000234897374034,0.00099562373814
2714,ACD,ENSG00000102977,ENSG00000102977,0.000235552698861,0.000998158147792
6734,CDK7,ENSG00000134058,ENSG00000134058,0.000237189583633,0.00100484968517
11274,DEFB1,ENSG00000164825,ENSG00000164825,0.000237305528435,0.00100491003488
15467,LRRC70,ENSG00000186105,ENSG00000186105,0.000237319368973,0.00100491003488
5340,AMD1,ENSG00000123505,ENSG00000123505,0.000238279754697,0.00100848572578
11092,NAA15,ENSG00000164134,ENSG00000164134,0.000238250669885,0.00100848572578
11370,VEGFD,ENSG00000165197,ENSG00000165197,0.000238819393076,0.00101052380018
8391,ABHD1,ENSG00000143994,ENSG00000143994,0.000239706890985,0.00101403243402
1519,EXD2,ENSG00000081177,ENSG00000081177,0.000240136836256,0.0010156042467
